SiteFunctionalLocation,LicenceArea,SiteName,SiteType,SiteVoltage,ESQCROverallRisk,GridRef,SiteAssetCount,PowerTransformerCount,ElectricalAssetCount,CivilAssetCount,Street,Suburb,TownCity,County,PostCode,YearCommissioned,DateCommissioned,SiteClassification,AssessmentDate,Last_Report,CalculatedResistance,MeasuredResistance.Ohm.,Next_AssessmentDate,Easting,Northing,transratingwinter,transratingsummer,reversepower,maxdemandsummer,maxdemandwinter,Spatial Coordinates,local_authority,local_authority_code,what3words
EPN-S0000000H1015,Eastern Power Networks (EPN),ICKLINGHAM PRIMARY 33/11kV,Primary Substation,33,High,TL74717397,87,2,87,0,,,ICKLINGHAM,Suffolk,IP28 6PZ,NA,1962-04-01,HOT,2023-12-05,ESL0951035-R01,12.80Ω 0.00Deg,0.72,2031-11-26,574710,273970,"10, 10","8, 8",<100%,5.2,4.6,"52.335989068288, 0.562876277898539",West Suffolk,E07000245,matchbox.windmill.guitar
EPN-S0000000H1018,Eastern Power Networks (EPN),STOWMARKET GRID 33/11kV,Primary Substation,33,High,TM06425683,104,2,104,0,,,STOWMARKET SOUTH,Suffolk,IP6 8RS,NA,1952-04-01,COLD,2012-09-24,P-12-2027-01,NA,0.11,2027-11-26,606420,256830,"38, 38","29, 29",8.5MVA,17.7,22,"52.1711061546669, 1.01718263923797",Mid Suffolk,E07000203,pounding.hack.roofs
EPN-S0000000H1021,Eastern Power Networks (EPN),WATER LN PRIMARY 33/11kV,Primary Substation,33,High,TL8669683253,68,2,68,0,,,THETFORD NORTH,Norfolk,IP24 1BN,NA,1953-04-01,COLD,2013-12-20,P-13-3251-01,0.13Ω 0.00Deg,,2031-11-26,586696,283253,"23, 23","17, 17",<100%,10.8,14.3,"52.4154043568626, 0.743753608578155",Breckland,E07000143,fattening.waxer.dreamers
EPN-S0000000H1026,Eastern Power Networks (EPN),LAKENHEATH PRIMARY 33/11kV,Primary Substation,33,Very High,TL7240780089,110,3,110,0,,,LAKENHEATH,Suffolk,IP27 9NW,NA,1946-04-01,COLD,2013-12-04,P-13-3299-01,NA,0.07,2031-11-26,572407,280089,"13, 13, 13","10, 10, 10","Not Available,  <100%",10.2,14.1,"52.3916739903062, 0.532251794753097",West Suffolk,E07000245,trains.satin.culminate
EPN-S0000000H1029,Eastern Power Networks (EPN),ORFORD PRIMARY 33/11kV,Primary Substation,33,High,TM42305092,86,2,86,0,,,ORFORD,Suffolk,IP12 2BS,NA,1956-04-01,COLD,2021-09-03,ELP05087-R02,0.18Ω 0.00Deg,0.13,2031-11-26,642300,250920,"6, 6","5, 5","100%,  <100%",1.9,2,"52.1035028959206, 1.53666567208446",East Suffolk,E07000244,ascendant.jumpy.outdoors
EPN-S0000000H1040,Eastern Power Networks (EPN),BENTWATERS PRIMARY 33/11kV,Primary Substation,33,High,TM3468553502,83,2,83,0,NEAR MAIN GATE OF PRIMARY,,RENDLESHAM,Suffolk,IP12 2TW,NA,1986-04-01,COLD,2013-12-04,P-13-3289-01,NA,0.09,2031-11-26,634685,253502,"24, 24","18, 18",100%,7.8,7.4,"52.1299551371558, 1.4274682757938",East Suffolk,E07000244,activates.intelligible.depend
EPN-S0000000H1043,Eastern Power Networks (EPN),EYE PRIMARY 33/11kV,Primary Substation,33,High,TM1549173962,68,2,68,0,,,EYE,Suffolk,IP23 7NJ,NA,1960-04-01,HOT,2017-12-13,ESL1992038-R01,0.57Ω 0.00Deg,0.28,2029-11-26,615491,273962,"24, 24","18, 18",100%,13.2,13.3,"52.3214302439749, 1.16053840685926",Mid Suffolk,E07000203,ghosts.polar.vanish
EPN-S0000000H1046,Eastern Power Networks (EPN),HONINGTON PRIMARY 33/11kV,Primary Substation,33,Very High,TL91387522,76,2,76,0,,,HONINGTON,Suffolk,IP31 1RJ,NA,1958-04-01,HOT,2014-09-17,ESL0343010-R02 RA,2.37Ω 0.00Deg,1.72,2031-11-26,591380,275220,"7, 6","5, 5",Not Available,1.6,2,"52.3416564744762, 0.807956159283669",West Suffolk,E07000245,arena.panicking.fetches
EPN-S0000000H1049,Eastern Power Networks (EPN),ROUNDWOOD RD PRIMARY 33/11kV,Primary Substation,33,High,TM1825045214,112,2,112,0,,,IPSWICH EAST,Suffolk,IP4 4EP,NA,1960-04-01,COLD,2013-07-02,P-13-2645-01,0.22Ω 0.00Deg,,2027-11-26,618250,245214,"22, 22","18, 18",100%,12,17.5,"52.0622863132542, 1.18245663277473",Ipswich,E07000202,sudden.silk.coach
EPN-S0000000H1050,Eastern Power Networks (EPN),MELTON PRIMARY 33/11kV,Primary Substation,33,High,TM28445029,90,2,90,0,,,MELTON,Suffolk,IP12 1RB,NA,1954-04-01,COLD,2018-01-09,ESL1992039-R01,2.33Ω 0.00Deg,0.05,2031-11-26,628440,250290,"13, 13","10, 10",Not Available,6.4,7.7,"52.1037410014546, 1.33424102064004",East Suffolk,E07000244,dignitary.contained.luggage
EPN-S0000000H1051,Eastern Power Networks (EPN),TATTINGSTONE PRIMARY 33/11kV,Primary Substation,33,Very High,TM14103790,67,2,67,0,,,TATTINGSTONE,Suffolk,IP9 2NN,NA,1955-04-01,HOT,2014-09-17,ESL0343016-R02,2.39Ω 0.00Deg,1.65,2027-11-26,614100,237900,"15, 15","12, 12",<100%,5.2,6.9,"51.998244271095, 1.11744028111822",Babergh,E07000200,forgives.bangle.screeches
EPN-S0000000H1053,Eastern Power Networks (EPN),GUSFORD HALL PRIMARY 33/11kV,Primary Substation,33,Medium,TM1464142265,78,2,78,0,,,IPSWICH SOUTH,Suffolk,IP2 9UL,NA,1968-04-01,HOT,2014-06-04,ESL0042-11871,0.19Ω 0.00Deg,,2027-11-26,614641,242265,"23, 23","17, 17",<100%,8.4,11.5,"52.0372213814933, 1.1280427759983",Ipswich,E07000202,joke.sunblock.spurted
EPN-S0000000H1054,Eastern Power Networks (EPN),HADLEIGH PRIMARY 33/11kV,Primary Substation,33,High,TM03154267,90,2,90,0,STONEHOUSE ROAD,,HADLEIGH,Suffolk,IP7 5DH,NA,1966-04-01,COLD,2014-10-28,ESL0042-59,NA,0.27,2027-11-26,603150,242670,"24, 24","18, 18",100%,8.2,10.3,"52.045183337677, 0.960993782759361",Babergh,E07000200,rather.complies.pints
EPN-S0000000H1055,Eastern Power Networks (EPN),MARTLESHAM PRIMARY 33/11kV,Primary Substation,33,High,TM2495545369,97,2,97,0,,,MARTLESHAM,Suffolk,IP5 3RY,NA,1971-04-01,COLD,2017-12-20,ESL1992041-R01,7.30Ω 0.00Deg,0.16,2027-11-26,624955,245369,"23, 23","17, 17",<100%,11.4,12.3,"52.0609980083267, 1.2802015827527",East Suffolk,E07000244,bother.painter.dries
EPN-S0000000H1065,Eastern Power Networks (EPN),LANGLEY AV PRIMARY 33/11kV,Primary Substation,33,Very High,TM2940734742,109,2,109,0,,,FELIXSTOWE SOUTH,Suffolk,IP11 2ND,NA,1954-04-01,HOT,2014-08-05,ESL0042-022,0.39Ω 0.00Deg,,2027-11-26,629407,234742,"23, 23","17, 17",<100%,10.3,13.8,"51.9637927685541, 1.33791613587462",East Suffolk,E07000244,librarian.vague.rash
EPN-S0000000H1073,Eastern Power Networks (EPN),RICKINGHALL PRIMARY 33/11kV,Primary Substation,33,High,TM04587461,94,2,94,0,,,RICKINGHALL,Suffolk,IP22 1LL,NA,1959-04-01,HOT,2016-07-08,ESL1519013-R01,0.46Ω 0.00Deg,0.44,2029-11-26,604580,274610,"15, 15","11, 11",100%,6.2,6.6,"52.3314198178231, 1.00107662336146",Mid Suffolk,E07000203,qualified.fail.prevented
EPN-S0000000H1075,Eastern Power Networks (EPN),SHOTLEY PRIMARY 33/11kV,Primary Substation,33,High,TM2373735369,87,2,87,0,OLD HALL ROAD,,SHOTLEY,Suffolk,IP9 1PL,NA,1962-04-01,COLD,2014-08-05,ESL0042-036,0.30Ω 0.00Deg,,2027-11-26,623737,235369,"24, 24","18, 18",100%,1.6,2.7,"51.9717296570863, 1.25593572542948",Babergh,E07000200,minds.racetrack.nicknames
EPN-S0000000H1174,Eastern Power Networks (EPN),LAKENHEATH GATEHOUSE PRIMARY 33/11KV,Primary Substation,33,Medium,TL7428280747,98,2,98,0,A1065 BRANDON ROAD,,"LAKENHEATH, SUFFOLK,",NA,IP27 9PP,NA,2017-04-01,COLD,2018-05-04,ELP00483-R01,1.72Ω 0.00Deg,,2036-11-30,574282,280747,NA,NA,NA,NA,NA,"52.396990434758, 0.560119051090294",West Suffolk,E07000245,dripped.croutons.hangs
EPN-S0000000H1189,Eastern Power Networks (EPN),SNETTERTON PRIMARY 33/11KV,Primary Substation,33,Medium,TM0096290140,44,1,44,0,HARLING ROAD,,SNETTERTON,NA,NR16 2JU,NA,2022-04-22,COLD,2020-12-11,ELP05135-R01,3.98Ω 0.00Deg,,2039-12-12,600962,290140,NA,NA,NA,NA,NA,"52.4721861472423, 0.95736970635812",Breckland,E07000143,proved.alleges.collide
EPN-S0000000H3016,Eastern Power Networks (EPN),BRAISWICK PRIMARY 33/11kV,Primary Substation,33,High,TL98642677,123,2,123,0,,,COLCHESTER NORTH,Essex,CO4 5YH,NA,1961-04-01,COLD,2013-12-19,P-13-3255-01-DUP,NA,0.04,2027-11-26,598640,226770,"24, 24","18, 18",<100%,7.3,9.3,"51.9040458577, 0.88612429122237",Colchester,E07000071,dent.soils.jelly
EPN-S0000000H3019,Eastern Power Networks (EPN),HALSTEAD PRIMARY 33/11kV,Primary Substation,33,High,TL8100230636,75,2,75,0,,,HALSTEAD,Essex,CO9 1LH,NA,1958-04-01,HOT,2014-04-11,ESL0042-11447,0.34Ω 0.00Deg,,2025-11-26,581002,230636,"19, 19","13, 13",100%,12.6,18,"51.9447725054248, 0.63206680798635",Braintree,E07000067,initiated.bookmark.vessel
EPN-S0000000H3025,Eastern Power Networks (EPN),BOXTED PRIMARY 33/11kV,Primary Substation,33,High,TL82605145,91,2,91,0,,,BOXTED,Suffolk,IP29 4JP,NA,1957-04-01,HOT,2022-10-31,ELP07260037-R01,1.30Ω 0.00Deg,0.88,2038-11-26,582600,251450,"12, 12","10, 10",100%,1.7,3.8,"52.1311799252025, 0.66639483384976",Babergh,E07000200,muddy.dote.bulbs
EPN-S0000000H3027,Eastern Power Networks (EPN),CLACTON GRID 33/11kV,Primary Substation,33,Very High,TM1921318895,110,2,110,0,,,GREAT HOLLAND,Essex,CO16 9QG,NA,1964-04-01,COLD,2013-09-05,P-13-2977-01,0.03Ω 0.50Deg,,2025-11-26,619213,218895,"24, 24","18, 18",100%,7.9,11.6,"51.8256446215687, 1.17971600205067",Tendring,E07000076,guises.define.pinks
EPN-S0000000H3029,Eastern Power Networks (EPN),SOUTH CHELMSFORD PRIMARY 33/11kV,Primary Substation,33,High,TL7203304201,150,2,150,0,,,GREAT BADDOW,Essex,CM2 8DR,NA,1960-04-01,COLD,2020-06-30,ELP03607009-R01,1.82Ω 0.00Deg,0.07,2036-11-26,572033,204201,"24, 24","18, 18",100%,9.8,13.2,"51.7101655380788, 0.488583579023563",Chelmsford,E07000070,ladder.prone.digs
EPN-S0000000H3030,Eastern Power Networks (EPN),SOUTH WOODHAM PRIMARY 33/11kV,Primary Substation,33,High,TQ79589788,89,2,89,0,,,SOUTH WOODHAM FERRERS,Essex,CM3 8RA,NA,1966-04-01,COLD,2020-07-02,ELP03607011-R01,0.19Ω 0.00Deg,0.06,2036-11-26,579580,197880,"24, 24","18, 18",100%,13.2,15.5,"51.651027718283, 0.594451054535383",Chelmsford,E07000070,stammer.mango.sectors
EPN-S0000000H3036,Eastern Power Networks (EPN),EAST BAY PRIMARY 33/11kV,Primary Substation,33,High,TM00712513,37,2,37,0,,,COLCHESTER EAST,Essex,CO1 2UF,NA,2016-04-01,COLD,2014-04-11,ESL0042-11443,0.24Ω 0.00Deg,,2027-11-30,600710,225130,"23, 23","17, 17",<100%,7,9.2,"51.888578735058, 0.915219120540789",Colchester,E07000071,belly.pits.intent
EPN-S0000000H3040,Eastern Power Networks (EPN),SOUTH WITHAM PRIMARY 33/11kV,Primary Substation,33,High,TL81901290,152,2,152,0,HOWBRIDGE HALL ROAD,,WITHAM,Essex,CM8 1QG,NA,1974-04-01,COLD,2023-02-20,ELP09356001-R01,0.28Ω 0.00Deg,0.16,2039-11-26,581900,212900,"24, 24","18, 18",100%,8.4,12.6,"51.7851866826719, 0.635785080224398",Braintree,E07000067,stocks.ledge.venues
EPN-S0000000H3043,Eastern Power Networks (EPN),BRANTHAM PRIMARY 33/11kV,Primary Substation,33,High,TM1059633123,84,2,84,0,,,BRANTHAM,Suffolk,CO11 1QY,NA,1964-04-01,COLD,2014-03-13,P-14-3461-01,NA,0.18,2027-11-26,610596,233123,"18, 18","15, 15",100%,3.9,5,"51.9566959435958, 1.06354704959752",Babergh,E07000200,goggles.weary.moods
EPN-S0000000H3055,Eastern Power Networks (EPN),WIX PRIMARY 33/11kV,Primary Substation,33,Very High,TM16342917,86,2,86,0,,,WIX,Essex,CO11 2UJ,NA,1956-04-01,COLD,2023-11-09,ELP50555-R01,0.34Ω 0.00Deg,0.16,2027-11-26,616340,229170,"16, 15","12, 11",100%,4.3,5.6,"51.9190059908613, 1.14452514264264",Tendring,E07000076,warned.endlessly.ducks
EPN-S0000000H3056,Eastern Power Networks (EPN),WRITTLE ST PRIMARY 33/11kV,Primary Substation,33,High,TL70670631,72,2,72,0,,,CHELMSFORD SOUTH,Essex,CM2 0JU,NA,1950-04-01,COLD,2020-10-28,ELP03607034-R01,0.89Ω 0.00Deg,0.06,2036-11-26,570670,206310,"24, 24","18, 18",100%,11,15.1,"51.7295261454194, 0.469907971701634",Chelmsford,E07000070,paused.rash.visit
EPN-S0000000H3059,Eastern Power Networks (EPN),CHISBON HEATH PRIMARY 33/11kV,Primary Substation,33,Very High,TM1322918589,85,2,85,0,,,ST OSYTH,Essex,CO16 8HJ,NA,1953-04-01,HOT,2013-11-26,P-13-3272-01,NA,0.16,2025-11-26,613229,218589,"13, 13","10, 10",100%,6.1,8.3,"51.8252113234989, 1.09282901387655",Tendring,E07000076,slicer.applies.balconies
EPN-S0000000H3062,Eastern Power Networks (EPN),MALDON WICK PRIMARY 33/11kV,Primary Substation,33,High,TL8426406268,75,2,75,0,,,MALDON,Essex,CM9 6AU,NA,1968-04-01,COLD,2023-02-23,ELP09356002-R01,0.24Ω 0.00Deg,0.08,2039-11-26,584264,206268,"23, 23","17, 17",<100%,11.2,15.1,"51.724849731361, 0.666506126793838",,,decorator.importers.hasten
EPN-S0000000H3069,Eastern Power Networks (EPN),LAKE AND ELLIOT PRIMARY 33/11kV,Primary Substation,33,High,TL7671122601,103,2,103,0,MILL HILL,,BRAINTREE EAST,Essex,CM7 3QU,NA,1960-04-01,COLD,2016-09-29,ESL1519025-R01 RA,1.18Ω 0.00Deg,0.09,2025-11-26,576711,222601,"13, 13","10, 10",100%,6.2,8.6,"51.8739821337294, 0.565585950235916",Braintree,E07000067,assemble.euphoric.elects
EPN-S0000000H3071,Eastern Power Networks (EPN),BURNHAM PRIMARY 33/11kV,Primary Substation,33,High,TQ95649579,84,2,84,0,,,BURNHAM ON CROUCH,Essex,CM0 8LR,NA,1966-04-01,COLD,2023-07-04,ELP09356026-R01,0.36Ω 0.00Deg,0.05,2039-11-26,595640,195790,"24, 24","18, 18",100%,8.6,10.8,"51.6269045712876, 0.825141211975568",,,drum.strays.debut
EPN-S0000000H3074,Eastern Power Networks (EPN),MERSEA RD PRIMARY 33/11kV,Primary Substation,33,Very High,TM0029723261,97,2,97,0,,,COLCHESTER SOUTH,Essex,CO2 8PZ,NA,1972-04-01,HOT,2014-04-17,ESL0042-11464,0.43Ω 15.40Deg,,2027-11-26,600297,223261,"23, 23","17, 17",<100%,8.1,9.9,"51.871944873193, 0.908142117693411",Colchester,E07000071,oldest.keeps.comical
EPN-S0000000H4011,Eastern Power Networks (EPN),RADNOR PRIMARY 33/11kV,Primary Substation,33,Medium,TL4650156721,115,2,115,0,,,CAMBRIDGE SOUTH,Cambridgeshire,CB1 7BS,NA,1966-04-01,COLD,2017-04-25,ESL1992005-R01,1.12Ω 0.00Deg,0.08,2025-11-26,546501,256721,"38, 38","29, 29",<100%,18.1,23.5,"52.1892767752753, 0.141703679326459",Cambridge,E07000008,fancy.flips.hooks
EPN-S0000000H4012,Eastern Power Networks (EPN),SHEPRETH PRIMARY 33/11kV,Primary Substation,33,Medium,TL39124809,111,3,111,0,,,SHEPRETH,Cambridgeshire,SG8 6QA,NA,1963-04-01,COLD,2009-02-09,P-08-452,NA,0.06,2026-11-26,539120,248090,"10, 10, 10","8, 8, 8","Not Available,  <100%",6.2,11.2,"52.1136385948748, 0.0302731405775739",South Cambridgeshire,E07000012,enthused.rags.renders
EPN-S0000000H4015,Eastern Power Networks (EPN),THOMPSONS LN PRIMARY 33/11kV,Primary Substation,33,Medium,TL4480059018,222,2,222,0,24 THOMPSONS LANE,,CAMBRIDGE CENTRAL,Cambridgeshire,CB5 8AJ,NA,2006-04-01,COLD,2014-08-05,ESL0042-024,0.12Ω 0.00Deg,,2025-11-26,544800,259018,"40, 40","26, 26",100%,10.6,14.9,"52.2103624177746, 0.117819739783256",Cambridge,E07000008,slug.study.chins
EPN-S0000000H4031,Eastern Power Networks (EPN),OFFORD PRIMARY 33/11kV,Primary Substation,33,Medium,TL21086624,93,2,93,0,,,OFFORD DARCY,Cambridgeshire,PE19 5WX,NA,1964-04-01,COLD,2022-09-07,ELP07260023-R01,0.56Ω 0.00Deg,0.16,2038-11-26,521080,266240,"24, 24","18, 18",<100%,11,12.6,"52.2809766401816, -0.226553836224093",Huntingdonshire,E07000011,worldwide.owner.plums
EPN-S0000000H4032,Eastern Power Networks (EPN),SAFFRON WALDEN PRIMARY 33/11kV,Primary Substation,33,High,TL5462437942,106,2,106,0,,,SAFFRON WALDEN,Essex,CB11 3BN,NA,1964-04-01,COLD,2014-06-04,ESL0042-11872,0.27Ω 0.00Deg,,2026-11-26,554624,237942,"24, 24","18, 18",100%,13,18.8,"52.0183588975495, 0.251919192065705",Uttlesford,E07000077,beans.pencil.stowing
EPN-S0000000H4045,Eastern Power Networks (EPN),SAWSTON PRIMARY 33/11kV,Primary Substation,33,Medium,TL47564936,104,2,104,0,,,SAWSTON,Cambridgeshire,CB22 3JF,NA,1957-04-01,COLD,2023-05-12,ELP09896,0.83Ω 0.00Deg,0.14,2025-11-26,547560,249360,"40, 40","30, 30",100%,23.2,27.4,"52.1228628290103, 0.153988197899791",South Cambridgeshire,E07000012,spins.tune.recorders
EPN-S0000000H4046,Eastern Power Networks (EPN),ST IVES PRIMARY 33/11kV,Primary Substation,33,Medium,TL3177972508,141,2,141,0,,,ST IVES,Cambridgeshire,PE27 3JA,NA,1965-04-01,COLD,2022-03-09,ELP07262008-R01,0.26Ω 0.00Deg,0.05,2038-11-26,531779,272508,"23, 23","17, 17",<100%,14.1,16.7,"52.3348370403047, -0.0673623505827406",Huntingdonshire,E07000011,conqueror.nipping.privately
EPN-S0000000H4050,Eastern Power Networks (EPN),PERRY PRIMARY 33/11kV,Primary Substation,33,Medium,TL15686628,111,3,111,0,,,PERRY,Cambridgeshire,PE28 0BW,NA,1960-04-01,COLD,2022-07-19,ELP07260018-R01,0.17Ω 0.00Deg,0.04,2038-11-26,515680,266280,"9, 9, 9","8, 8, 8","100%,  <100%",10.4,11.4,"52.2824978641066, -0.305658343244171",Huntingdonshire,E07000011,soaps.pairings.dupe
EPN-S0000000H4052,Eastern Power Networks (EPN),MARSTON RD PRIMARY 33/11kV,Primary Substation,33,Medium,TL0070543148,88,2,88,0,,,MARSTON MORETEYNE,Bedfordshire,MK43 9EJ,NA,1961-04-01,COLD,2020-09-02,ELP03607018-R01,0.14Ω 0.00Deg,0.07,2036-11-26,500705,243148,"13, 13","10, 10","100%,  <100%",6,8.9,"52.0775447517154, -0.531954989186488",Bedford,E06000055,existence.looked.table
EPN-S0000000H4054,Eastern Power Networks (EPN),STOREYS WAY PRIMARY 33/11kV,Primary Substation,33,Medium,TL43945928,78,2,78,0,,,CAMBRIDGE WEST,Cambridgeshire,CB3 0FN,NA,1964-04-01,COLD,2011-05-06,P-11-1010,0.08Ω 0.00Deg,,2025-11-26,543940,259280,"23, 23","17, 17",<100%,10.2,13.8,"52.2129414001622, 0.105353642405404",Cambridge,E07000008,ever.giving.ticket
EPN-S0000000H4057,Eastern Power Networks (EPN),BARNWELL PRIMARY 33/11kV,Primary Substation,33,Medium,TL4684159366,110,2,110,0,,,CAMBRIDGE EAST,Cambridgeshire,CB5 8LW,NA,1962-04-01,COLD,2012-11-09,P-12-2124-01,0.90Ω 0.00Deg,,2025-11-26,546841,259366,"20, 20","15, 15",100%,7.5,10.7,"52.212949291766, 0.147819289333912",Cambridge,E07000008,same.book.blog
EPN-S0000000H4060,Eastern Power Networks (EPN),BRINGTON PRIMARY 33/11kV,Primary Substation,33,High,TL0843075672,54,1,54,0,,,BRINGTON,Cambridgeshire,PE28 5AD,NA,1962-04-01,COLD,2022-04-28,ELP07260010-R01,0.42Ω 0.00Deg,0.13,2038-11-26,508430,275672,15,12,100%,3.9,5.8,"52.3683777143385, -0.408865650220595",Huntingdonshire,E07000011,pavement.wiping.convinced
EPN-S0000000H4061,Eastern Power Networks (EPN),BROGBOROUGH PRIMARY 33/11kV,Primary Substation,33,High,SP96883905,50,2,50,0,,,BROGBOROUGH,Bedfordshire,MK43 0YB,NA,1964-04-01,COLD,2010-12-15,P-10-696-175,NA,0.1,2026-11-26,496880,239050,"18, 18","15, 15",<100%,11.7,12,"52.0413941149378, -0.588910667443523",Central Bedfordshire,E06000056,scavenger.bother.prank
EPN-S0000000H4066,Eastern Power Networks (EPN),HISTON PRIMARY 33/11kV,Primary Substation,33,High,TL43926272,116,2,116,0,,,HISTON,Cambridgeshire,CB24 9ZR,NA,1962-04-01,COLD,2014-04-11,ESL0042-11449,0.21Ω 0.00Deg,,2025-11-26,543920,262720,"24, 23","18, 17",<100%,9.4,11.6,"52.2438524986778, 0.106523770553321",South Cambridgeshire,E07000012,rinse.riders.soaks
EPN-S0000000H4073,Eastern Power Networks (EPN),ADDENBROOKES PRIMARY 33/11kV,Primary Substation,33,Medium,TL4638955426,59,2,59,0,ADDENBROOKES HOSPITAL,HILLS ROAD,CAMBRIDGE,Cambridgeshire,CB2 8PS,NA,2002-04-01,COLD,2012-11-09,P-12-2120-01,0.57Ω 0.00Deg,,2025-11-26,546389,255426,"24, 24","18, 18",100%,11,7.6,"52.1776720301569, 0.139507902074496",Cambridge,E07000008,quiz.lung.rash
